Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
14/09/2011,13.5,14,-11,17.8,-11.5,18.7,308.3,17,4,0,No data,No data,No data,9,No data,No data,No data,No data,No data,10,7,No data,No data,3,6,No data,8,10,No data,9,10,No data,7,4,No data,5,No data,5,7,8,5,8,9,No data,No data,No data,10,8,8,No data,4,8
15/09/2011,15.2,-0.3,6.7,6.8,-32.9,17.8,177,0,3,2,No data,No data,No data,13,No data,No data,No data,No data,No data,16,10,No data,No data,7,10,No data,14,15,No data,14,17,No data,13,5,No data,9,12,10,No data,12,7,11,14,No data,No data,No data,10,17,9,No data,11,11
16/09/2011,12.6,-0.6,15,15,21.2,18.4,177.5,24,4,5,No data,No data,No data,No data,No data,No data,No data,No data,No data,15,10,No data,No data,10,15,No data,14,18,No data,15,16,No data,18,8,No data,15,16,10,No data,11,14,13,17,No data,No data,No data,20,18,11,No data,13,14
17/09/2011,10.5,6.8,-1.8,7,61.4,31.5,284.8,20,7,-1,No data,No data,No data,No data,No data,No data,No data,No data,No data,7,7,No data,No data,3,8,No data,7,7,No data,6,7,No data,8,6,No data,4,7,4,5,6,4,6,7,No data,No data,7,6,8,8,No data,3,12
18/09/2011,10.7,1.6,-16.5,16.6,16.5,18.5,354.5,18,4,1,No data,No data,No data,No data,No data,No data,No data,No data,No data,7,8,No data,No data,3,9,No data,7,8,No data,7,7,No data,5,6,No data,5,8,4,5,6,5,6,7,No data,No data,6,6,10,9,No data,3,13
19/09/2011,7.3,18.2,3.5,18.6,2.8,18.6,259.1,16,4,2,No data,No data,No data,No data,No data,No data,No data,No data,No data,10,8,No data,No data,4,10,No data,7,10,No data,8,8,No data,9,5,No data,8,10,5,7,9,4,8,8,No data,No data,9,7,10,8,No data,3,11
20/09/2011,9.1,20,8.8,21.9,-8.8,22.3,246.2,15,3,1,No data,No data,No data,8,No data,No data,No data,No data,No data,11,8,No data,No data,2,9,No data,8,12,No data,10,10,No data,7,5,No data,9,7,5,7,11,4,8,10,No data,No data,11,8,11,8,No data,2,9
21/09/2011,7.2,28.6,8,29.8,17.5,31,254.3,16,6,3,No data,No data,No data,9,No data,No data,No data,No data,No data,8,8,No data,No data,5,11,No data,5,9,No data,7,8,No data,6,7,No data,5,7,5,5,7,7,7,7,No data,No data,7,5,9,9,No data,5,12
22/09/2011,10.2,19.4,-1.3,19.5,-24.8,23.1,274,6,6,5,10,No data,No data,14,No data,No data,No data,No data,No data,13,12,No data,No data,8,14,No data,11,13,No data,11,12,No data,10,10,No data,8,10,9,13,14,10,12,12,No data,No data,14,12,12,13,No data,7,17
23/09/2011,7.1,12.9,15.3,20,-12.7,21,220.3,15,7,4,8,No data,No data,15,No data,No data,No data,No data,No data,15,11,No data,No data,9,16,No data,14,17,No data,16,15,No data,12,10,No data,11,12,10,13,16,11,15,15,No data,No data,18,14,14,13,No data,8,16
24/09/2011,5.3,13.8,12.5,18.6,-9.6,19.2,228,15,8,2,8,No data,No data,14,No data,No data,No data,No data,No data,20,9,No data,No data,11,16,No data,18,22,No data,20,20,No data,18,15,No data,15,17,13,10,17,14,16,19,22,No data,20,18,17,17,No data,9,19
25/09/2011,7.2,11.4,19.2,22.4,11.2,23,210.7,15,6,2,5,No data,No data,10,No data,No data,No data,No data,No data,15,10,No data,No data,6,13,No data,13,17,No data,16,16,No data,9,11,No data,15,9,10,7,13,7,15,17,11,No data,13,14,12,14,No data,5,14
26/09/2011,13,12.4,6.8,14.2,-26.8,19.5,241.3,5,3,1,5,No data,No data,10,No data,No data,No data,No data,No data,11,8,No data,No data,5,12,No data,10,12,No data,10,12,No data,8,6,No data,11,10,6,7,9,6,9,11,16,No data,10,8,11,10,No data,7,12
27/09/2011,17.1,14.2,17,22.1,-22.1,24.7,219.9,15,6,2,5,No data,No data,16,No data,No data,No data,No data,No data,13,9,No data,No data,8,24,No data,14,17,No data,15,17,No data,11,12,No data,13,13,12,14,14,11,13,14,16,No data,18,13,16,14,No data,7,18
28/09/2011,13.9,10.5,23.8,26,-19,27.7,203.8,15,14,8,17,No data,No data,23,No data,No data,No data,No data,No data,30,16,No data,23,14,No data,No data,No data,29,24,23,No data,No data,17,19,No data,31,23,17,19,22,16,19,39,16,No data,24,36,22,23,No data,15,20
29/09/2011,15.5,5.2,12.1,13.2,-22.4,17.3,203,5,14,7,10,No data,No data,33,No data,No data,No data,No data,No data,29,15,No data,46,21,No data,No data,No data,40,31,33,No data,No data,25,27,No data,40,35,21,31,30,25,24,31,24,No data,36,29,31,36,No data,20,40
