Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
25/09/2014,9.1,21.6,0.3,21.6,-25.7,25.1,269.1,6,7,5,7,7,No data,No data,7,No data,No data,7,No data,No data,No data,3,8,10,8,8,10,11,7,8,No data,No data,10,No data,4,8,6,5,No data,5,9,4,No data,10,6,10,No data,6,No data,No data,1,7
26/09/2014,12.3,20.6,-2.7,20.8,-46.8,31.3,277.5,0,6,7,10,7,No data,No data,8,No data,No data,8,No data,No data,No data,No data,6,9,9,9,11,11,6,7,No data,No data,10,7,5,8,7,4,No data,5,9,4,No data,14,7,10,No data,10,No data,No data,3,7
27/09/2014,15.6,13.8,8.5,16.2,-36.3,24.3,238.5,0,8,6,11,13,No data,No data,15,No data,No data,11,No data,No data,No data,No data,11,11,17,12,17,16,12,12,No data,No data,15,11,10,11,17,9,No data,8,11,9,12,19,12,18,No data,14,No data,No data,7,14
28/09/2014,15.4,6,2.8,6.6,-23.2,13.4,245.1,0,8,6,9,15,No data,No data,17,No data,No data,14,No data,No data,No data,No data,16,17,21,16,28,28,19,21,No data,No data,15,11,12,26,12,12,No data,14,17,12,23,20,16,20,No data,14,No data,No data,11,16
29/09/2014,16,4.5,6.7,8.1,-18.7,12.4,214,0,12,7,10,24,No data,No data,16,No data,No data,28,No data,No data,No data,No data,No data,26,No data,26,29,34,24,29,No data,No data,23,13,14,35,25,17,No data,17,14,17,26,25,25,30,No data,28,No data,No data,13,28
30/09/2014,15.6,12,15.1,19.2,-9.3,19.8,218.6,15,12,6,11,15,No data,No data,13,No data,No data,21,No data,No data,No data,No data,25,19,No data,21,22,21,19,No data,No data,No data,16,16,12,24,16,12,16,15,17,12,19,19,16,19,No data,16,No data,No data,8,23
01/10/2014,19.2,14.8,-0.6,14.8,-15.5,16.7,272.4,6,9,5,9,8,No data,No data,8,No data,No data,10,No data,No data,No data,No data,10,10,8,11,12,12,9,No data,12,No data,7,7,5,18,7,5,10,5,No data,5,10,13,7,11,No data,10,No data,No data,2,10
02/10/2014,16.6,15.3,19.3,24.6,-41.9,32.3,218.4,5,11,6,12,13,No data,No data,10,No data,No data,12,No data,No data,No data,No data,10,14,14,12,17,16,12,No data,16,No data,15,10,8,13,8,11,11,11,10,9,14,15,11,18,No data,12,No data,No data,7,10
03/10/2014,11.7,17.7,12.4,21.6,-8.6,22,235.1,15,8,4,9,11,No data,No data,10,No data,No data,9,No data,No data,No data,4,12,12,11,12,17,18,11,No data,18,No data,11,9,8,17,10,9,10,11,No data,9,13,14,10,17,No data,12,No data,No data,2,13
04/10/2014,11.7,13.8,-6.7,15.4,14,16.9,295.7,17,8,3,8,7,No data,No data,6,No data,No data,7,No data,No data,No data,4,8,9,7,10,16,13,11,No data,15,No data,8,6,5,13,11,6,7,7,6,5,11,11,6,11,No data,8,No data,No data,2,7
