Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
25/12/2010,21.4,6.1,-2,6.4,-35.9,19,288.2,0,No data,58,122,48,33,41,45,24,No data,97,38,No data,32,60,47,34,No data,22,31,68,56
26/12/2010,14.2,8.8,26.2,27.7,-25.1,30.4,198.4,14,No data,70,97,99,13,50,53,48,No data,78,88,No data,66,116,54,67,No data,26,42,52,54
27/12/2010,8.5,-0.4,23.8,23.8,9.2,24.3,179,14,No data,43,70,75,12,21,44,28,No data,95,50,No data,68,93,38,17,No data,28,17,42,48
28/12/2010,13.4,0.3,19.1,19.1,31.8,24.9,180.9,24,No data,53,94,83,43,28,37,38,No data,95,64,No data,65,99,43,38,No data,33,29,66,46
29/12/2010,17.7,-0.6,11.5,11.5,11,12.8,177.3,14,No data,64,99,91,37,52,44,45,No data,111,69,No data,83,83,47,50,No data,36,37,67,62
30/12/2010,19.9,-3.8,0.7,3.9,-29,15,100.9,0,No data,55,96,89,56,53,51,64,No data,152,59,No data,79,72,33,57,No data,39,39,67,71
31/12/2010,19,8.2,-5.1,9.7,-36.4,20.6,302,0,No data,76,92,107,40,57,47,40,No data,88,58,No data,69,75,50,60,No data,17,35,56,66
01/01/2011,24.1,-1.6,-10.4,10.5,-26.8,17,8.8,0,No data,33,34,78,25,42,35,24,No data,58,38,No data,39,52,23,33,No data,19,31,39,43
02/01/2011,25.1,0.8,-5.5,5.6,-29.8,15.9,351.3,0,No data,39,57,100,33,44,29,34,No data,79,34,No data,41,50,41,33,No data,24,40,46,46
03/01/2011,17.5,14.6,0.6,14.6,-14.4,16.3,267.6,16,No data,68,100,94,21,57,36,18,No data,53,60,No data,59,98,59,55,No data,14,37,46,64
04/01/2011,7.6,22.5,6.9,23.6,38.8,30.6,252.9,26,No data,54,92,88,21,47,60,16,No data,42,60,No data,50,123,53,50,No data,12,30,53,63
05/01/2011,0.8,9.2,1.6,9.3,59.1,31,260.3,20,No data,42,97,63,32,25,51,No data,No data,85,50,No data,57,110,36,21,No data,20,15,55,63
06/01/2011,-4.5,2.8,-13.5,13.8,7,14.2,348.5,18,No data,101,110,103,75,63,48,No data,No data,95,73,No data,72,100,74,85,No data,45,63,77,75
07/01/2011,-1.4,1.2,11.7,11.8,12.9,13.4,185.8,24,No data,75,95,91,89,56,52,58,No data,136,72,No data,78,126,41,54,No data,66,27,63,68
08/01/2011,0.7,14.6,-5.9,15.8,64.3,35.8,292.1,20,No data,36,56,46,29,26,54,14,No data,85,37,No data,54,97,29,28,No data,21,14,23,61
09/01/2011,5.8,18.8,-8.4,20.5,0.3,20.5,294.1,17,No data,39,54,61,23,42,54,19,No data,66,49,No data,37,113,34,50,No data,9,29,48,50
10/01/2011,6.2,4.7,16.4,17.1,31.3,23.2,196,24,No data,60,84,83,No data,27,42,21,No data,107,67,No data,72,117,46,30,No data,19,16,31,52
11/01/2011,7.1,7.3,-12.1,14.2,-0.2,14.2,328.8,17,No data,69,86,79,No data,50,68,24,No data,115,46,No data,70,No data,47,58,No data,27,32,34,55
12/01/2011,6.6,14.1,7.3,15.9,25.5,20.4,242.6,25,No data,58,121,62,50,32,56,40,No data,113,48,No data,91,129,45,32,No data,24,10,17,66
13/01/2011,5.5,13.5,5.2,14.5,23.7,18.7,249.1,26,No data,52,97,54,23,20,56,20,No data,97,37,No data,62,119,34,18,No data,19,9,21,58
14/01/2011,2.1,24,10.2,26.1,29.1,29.9,247,25,No data,49,83,64,18,25,60,20,No data,70,46,No data,50,133,35,23,No data,10,10,16,61
15/01/2011,-2.1,34.6,24.2,42.2,21.2,43.5,235,15,No data,17,40,44,13,14,27,8,No data,47,29,No data,25,87,15,10,No data,9,8,12,40
16/01/2011,3.4,27.6,12.2,30.2,6.2,30.4,246.2,15,No data,24,55,35,11,13,29,10,No data,34,28,No data,23,77,18,10,No data,7,8,16,49
17/01/2011,14.7,11.3,0,11.4,-6,11.7,270.2,16,No data,98,118,110,45,42,46,43,No data,73,75,No data,77,94,61,56,No data,27,38,66,69
18/01/2011,22.3,13.2,-8.1,15.5,-35.3,23.5,301.5,0,No data,75,88,101,57,53,57,33,No data,84,52,No data,57,No data,65,61,No data,22,52,61,67
19/01/2011,25.9,5.2,2.1,5.7,-53.2,27.2,247.9,0,No data,83,140,114,67,73,58,34,No data,114,65,No data,60,110,69,74,No data,34,59,95,60
20/01/2011,29.1,5.1,1.8,5.4,-47.5,24.3,250.3,0,No data,84,133,140,44,50,55,65,No data,140,46,No data,93,67,62,53,No data,57,62,100,72
21/01/2011,33.1,4.3,-4,5.9,-43.8,22.7,312.3,0,No data,86,115,127,37,53,58,60,No data,169,53,No data,90,74,74,62,No data,60,61,104,80
22/01/2011,33.9,-1,-7.8,7.9,-45.4,24,7.7,0,No data,68,106,108,37,37,49,25,No data,103,36,No data,77,52,37,30,No data,43,39,47,60
23/01/2011,31.8,-0.8,-10.6,10.6,-45.1,24.9,4.1,0,No data,40,60,96,27,18,24,14,No data,104,27,No data,57,38,22,18,No data,24,20,26,53
24/01/2011,26.2,13.5,-15.7,20.7,-27.1,24.8,319.4,7,No data,48,52,114,36,48,44,15,No data,70,43,No data,42,69,52,51,No data,15,45,53,58
25/01/2011,18.2,10.3,-16.7,19.6,0.1,19.6,328.3,17,No data,62,52,76,45,65,80,23,No data,73,41,No data,50,112,53,75,No data,43,30,32,65
26/01/2011,17.7,-12.3,-10.2,16,2.9,16,50.4,11,No data,51,65,87,68,33,31,22,No data,112,40,No data,58,46,29,42,No data,45,37,26,47
27/01/2011,19.7,-5.7,1.3,5.8,-34.8,18.3,102.9,0,No data,45,93,55,64,16,29,34,No data,117,29,No data,70,47,13,No data,No data,48,30,40,59
28/01/2011,19.3,1,2.4,2.6,-33.8,17.1,203.7,0,No data,55,102,60,62,24,31,46,No data,81,31,No data,83,54,22,No data,No data,80,31,55,79
29/01/2011,20.1,-2.2,-2.7,3.5,-33.5,17.1,39.2,0,No data,54,84,59,44,30,29,46,No data,114,35,No data,79,39,17,33,No data,49,35,70,65
30/01/2011,15.7,12.8,3.8,13.4,-31.8,20.8,253.4,0,No data,63,87,71,20,15,31,35,No data,65,50,No data,68,65,35,40,No data,22,32,65,64
31/01/2011,12.7,22.2,12.7,25.6,-28.2,29.2,240.2,5,No data,90,122,124,36,56,64,43,No data,42,74,No data,74,117,81,76,No data,25,45,84,67
01/02/2011,12.7,25.8,0.5,25.9,-30,29.9,268.9,6,No data,73,101,77,29,57,76,20,No data,No data,61,No data,60,142,61,76,No data,No data,32,62,61
02/02/2011,8.7,31.9,11.2,33.8,5.9,34,250.7,16,No data,46,73,67,22,32,58,12,No data,No data,49,No data,35,No data,No data,42,No data,No data,19,29,49
03/02/2011,5.7,33.6,24.6,41.7,-15.8,42.4,233.9,15,No data,40,78,59,24,33,55,No data,No data,48,40,No data,24,135,49,33,No data,9,13,25,44
04/02/2011,0.1,35.2,8.5,36.3,12.9,36.8,256.5,16,No data,18,56,33,22,14,44,No data,No data,52,22,No data,No data,110,23,11,No data,7,8,13,46
05/02/2011,5.6,25.9,4.8,26.4,-7.3,26.6,259.5,16,No data,12,75,31,29,11,28,No data,No data,60,18,No data,54,83,12,7,No data,11,6,11,55
06/02/2011,9.3,19.2,7.1,20.5,9,21,249.8,16,No data,13,40,32,41,13,26,No data,No data,86,20,No data,37,83,13,7,No data,16,7,10,46
07/02/2011,7.2,20.6,-13.7,24.8,29.9,28.9,303.6,27,No data,32,53,46,18,28,50,15,No data,80,32,No data,23,113,30,30,No data,8,13,26,17
08/02/2011,9.2,8.6,14.5,16.9,-45,28.1,210.8,0,No data,90,113,107,54,48,58,43,No data,100,85,No data,No data,130,55,86,No data,27,42,65,57
09/02/2011,10.7,10.1,16.4,19.2,16,20.8,211.7,15,No data,57,82,84,35,30,55,25,No data,100,62,No data,No data,127,53,33,No data,35,30,56,45
10/02/2011,5.9,4.8,3.6,6,-28.6,15.5,232.8,0,No data,57,75,68,74,34,55,38,No data,110,62,No data,59,139,56,37,No data,50,14,55,57
11/02/2011,8.8,3.5,15.7,16.1,9,16.7,192.7,14,No data,70,103,65,66,35,63,53,No data,129,57,No data,71,148,56,36,No data,59,13,51,49
12/02/2011,7.4,5.2,17,17.8,11.9,18.7,196.8,14,No data,51,63,46,36,41,60,34,No data,97,43,No data,67,109,40,40,No data,24,14,30,47
13/02/2011,1.8,3.3,11.7,12.2,44.2,25.2,196,20,No data,37,59,48,34,9,36,11,No data,90,36,No data,57,95,21,12,No data,17,12,28,36
14/02/2011,0.4,5.7,9.1,10.8,28.8,18,212,20,No data,57,88,69,32,45,56,27,No data,94,50,No data,63,No data,46,26,No data,17,15,47,62
15/02/2011,-6.7,-5.8,21.6,22.4,37.3,29.1,164.9,24,No data,57,85,80,40,19,44,35,No data,94,50,No data,73,112,21,15,No data,39,17,49,No data
16/02/2011,-2.8,-11.8,14.5,18.7,32,24.6,141,23,No data,79,103,90,47,25,45,44,No data,112,61,No data,83,110,37,31,No data,39,30,No data,No data
17/02/2011,6.6,-2,6.6,6.9,3.9,7.2,163.2,14,No data,65,102,74,33,61,46,51,No data,114,51,No data,83,75,35,65,No data,36,50,No data,No data
18/02/2011,9.1,-6.2,24.9,25.7,-0.2,25.7,165.9,14,No data,62,86,87,16,52,62,36,No data,97,60,No data,67,106,28,55,No data,26,48,64,No data
19/02/2011,9.4,-0.6,16.5,16.5,3.1,16.6,177.7,14,No data,60,73,90,24,42,40,56,No data,105,51,No data,64,74,34,51,No data,42,30,58,No data
20/02/2011,10.9,-2.3,26.6,26.7,1.2,26.7,174.9,14,No data,41,62,69,19,32,32,36,No data,63,38,No data,51,57,25,45,No data,30,33,39,No data
21/02/2011,11.8,-1.2,15.8,15.8,11.5,16.8,175.5,14,No data,57,88,99,25,45,46,40,No data,104,53,No data,62,101,31,48,No data,32,32,55,No data
22/02/2011,12.9,6.3,13.8,15.2,9.4,15.9,204.7,15,No data,67,97,98,36,42,72,55,No data,128,60,No data,76,118,51,57,No data,44,36,62,No data
23/02/2011,8.7,17.7,14.8,23.1,11,23.7,230.1,15,No data,54,99,76,28,32,57,31,No data,90,59,No data,71,139,50,44,No data,28,22,29,No data
24/02/2011,10,21.4,12.8,24.9,-26.3,28.2,239,5,No data,62,95,73,42,54,65,30,No data,56,57,No data,55,148,56,74,No data,12,26,33,No data
25/02/2011,11.1,25,11.5,27.5,-12.5,28.2,245.3,15,No data,48,85,74,26,28,53,25,No data,68,49,No data,57,138,43,39,No data,15,18,31,No data
26/02/2011,13.8,11.4,-11.7,16.4,1.5,16.4,315.9,17,No data,34,37,43,25,30,50,10,No data,62,22,No data,No data,70,19,21,No data,22,26,15,No data
27/02/2011,21.7,6.6,-14.3,15.8,-9.7,16.5,335.1,17,No data,34,44,60,33,31,30,12,No data,74,20,No data,41,73,31,23,No data,13,34,24,No data
28/02/2011,28.3,1.9,0.1,2,-29.4,14.8,266.2,0,No data,51,59,94,77,21,34,23,No data,110,35,No data,60,49,29,39,No data,36,36,30,No data
01/12/2011,2.3,16.5,-4.7,17.2,6.5,17.5,285.7,16,No data,72,96,85,46,45,52,34,No data,82,45,No data,51,98,61,52,No data,11,33,75,48
02/12/2011,2.8,30.2,10.1,31.8,-2.1,31.9,251.5,16,No data,61,94,88,41,60,56,26,No data,74,55,No data,47,138,58,59,No data,14,34,50,46
03/12/2011,-4.5,31.6,-13,34.2,6.9,34.4,292.3,16,No data,26,35,41,19,32,51,9,No data,47,30,No data,18,99,29,28,No data,5,16,22,17
04/12/2011,-3.3,19.8,-10.4,22.3,16.4,23.8,297.6,17,No data,31,45,44,17,27,39,11,No data,56,31,No data,21,106,31,25,No data,11,13,19,22
