Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
25/11/2010,16.3,-2.5,-19.2,19.4,9,19.9,7.6,18,No data,10,12,No data,15,10,14,7,No data,No data,21,No data,14,No data,12,13,No data,No data,11,No data,2,19,4,No data
26/11/2010,16.7,-2.1,-15.7,15.8,37.6,24.6,7.8,20,No data,24,26,No data,32,26,15,No data,No data,No data,22,No data,25,No data,16,24,No data,No data,27,No data,7,22,15,No data
27/11/2010,15.6,-11.9,-14,18.4,28.9,23.4,40.6,21,No data,14,14,No data,24,22,23,No data,No data,No data,27,No data,23,No data,16,19,No data,No data,26,No data,4,No data,9,No data
28/11/2010,16,-17,-2.3,17.2,39.1,26,82.1,20,No data,28,33,No data,16,22,26,24,No data,No data,25,No data,25,No data,20,18,No data,No data,23,No data,15,No data,12,No data
29/11/2010,19.4,-18.3,-1.8,18.4,11.6,19.3,84.3,12,No data,24,21,No data,18,14,34,18,No data,No data,26,No data,18,No data,18,15,No data,No data,14,No data,5,23,16,No data
30/11/2010,20.4,-18,-3.1,18.3,-15.2,19.8,80.3,12,No data,8,8,No data,14,18,20,7,No data,No data,26,No data,14,No data,12,11,No data,No data,12,No data,3,27,10,No data
01/09/2011,8.6,0.9,10.1,10.2,-24.3,15.9,185.4,0,No data,16,24,12,16,13,15,15,No data,No data,27,No data,No data,No data,21,19,10,No data,8,No data,9,16,No data,10
02/09/2011,5,13.7,8,15.9,-0.6,15.9,239.7,15,No data,17,21,21,12,31,16,14,No data,No data,22,No data,No data,No data,21,39,15,No data,26,No data,12,23,No data,10
03/09/2011,4.1,10.6,6.8,12.6,7.2,13.1,237.4,15,No data,15,15,16,4,22,12,11,No data,No data,17,No data,No data,No data,15,31,17,No data,18,No data,11,16,No data,No data
04/09/2011,5.8,3.8,9.6,10.3,23.2,15.5,201.7,20,No data,8,11,9,4,12,6,8,No data,No data,18,No data,No data,No data,12,22,9,No data,7,No data,11,9,No data,6
05/09/2011,6.9,16.2,-1.4,16.3,14,17.7,275,16,No data,8,12,6,4,10,7,6,No data,No data,15,No data,No data,No data,11,20,5,No data,4,No data,5,7,No data,No data
06/09/2011,2.3,27.5,1.1,27.5,66,43,267.6,20,No data,8,11,6,4,8,7,6,No data,No data,11,No data,No data,No data,8,No data,6,No data,4,No data,4,8,No data,2
07/09/2011,3.2,24.6,-3.6,24.9,-6.8,25.1,278.3,16,No data,No data,12,5,3,9,8,6,No data,No data,12,No data,No data,No data,8,26,7,No data,5,No data,4,8,No data,2
08/09/2011,3.1,14.5,-2.3,14.7,-4.6,14.9,279.2,16,No data,No data,12,11,4,11,7,6,No data,No data,11,No data,No data,No data,9,31,7,No data,6,No data,4,8,No data,2
09/09/2011,3.5,4.9,10.6,11.7,-5.1,12,204.8,15,No data,12,17,8,5,11,6,8,No data,No data,27,No data,No data,No data,14,30,7,No data,5,No data,8,9,No data,7
10/09/2011,-1.4,5.9,23.1,23.8,36.9,30.1,194.4,24,No data,9,12,9,4,11,7,8,No data,No data,20,No data,No data,No data,12,20,9,No data,5,No data,11,8,No data,5
