Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
14/06/2011,11.8,6.2,4.4,7.6,-27.1,15.6,234.4,0,No data,No data,19,15,9,11,No data,10,No data,No data,16,No data,13,No data,15,24,No data,No data,8,No data,5,11,No data,No data
15/06/2011,9.9,7.6,8.6,11.5,-1.8,11.5,221.8,15,No data,10,15,12,9,12,No data,9,No data,No data,18,No data,11,No data,14,28,No data,No data,6,No data,12,10,No data,No data
16/06/2011,8.2,8.8,3.9,9.7,15.6,12.4,246.4,25,No data,11,14,13,9,11,No data,12,No data,No data,19,No data,11,No data,13,30,No data,No data,6,No data,7,9,No data,No data
17/06/2011,5.4,0.6,14.4,14.5,33.4,22.1,182.4,20,No data,11,15,16,9,8,No data,9,No data,No data,27,No data,12,No data,17,22,No data,No data,4,No data,9,9,No data,No data
18/06/2011,7.4,3.6,-7.1,8,43.9,23.4,332.8,20,No data,9,12,7,12,7,No data,9,No data,No data,31,No data,9,No data,13,20,No data,No data,3,No data,9,8,No data,No data
19/06/2011,10.4,6.5,-3.4,7.4,2.3,7.5,297.7,17,No data,8,11,7,7,9,No data,8,No data,No data,19,No data,9,No data,10,16,No data,No data,4,No data,10,8,No data,No data
20/06/2011,11.2,-0.8,1.9,2,8.2,4.6,158.2,20,No data,11,18,14,8,9,No data,9,No data,No data,16,No data,13,No data,14,23,No data,No data,7,No data,11,9,No data,No data
21/06/2011,11.2,0.6,4.3,4.4,36.5,18.8,188.6,20,No data,9,13,12,10,10,No data,7,No data,No data,33,No data,11,No data,13,24,No data,No data,5,No data,10,10,No data,No data
22/06/2011,12.9,3.8,-8.7,9.5,40.1,22.2,336.8,20,No data,8,12,11,8,9,No data,8,No data,No data,27,No data,10,No data,10,27,No data,No data,4,No data,10,8,No data,No data
23/06/2011,16.4,7.9,-9.4,12.3,5.9,12.7,319.9,17,No data,12,11,8,7,9,No data,8,No data,No data,14,No data,9,No data,10,20,No data,No data,5,No data,7,9,No data,No data
