Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
02/01/2011,25.1,0.8,-5.5,5.6,-29.8,15.9,351.3,0,No data,9,9,14,15,13,20,9,No data,No data,21,No data,13,No data,10,10,No data,No data,13,No data,3,17,No data,No data
03/01/2011,17.5,14.6,0.6,14.6,-14.4,16.3,267.6,16,No data,17,29,20,14,22,29,19,No data,No data,19,No data,24,No data,20,25,No data,No data,27,No data,8,28,No data,No data
04/01/2011,7.6,22.5,6.9,23.6,38.8,30.6,252.9,26,No data,18,20,17,9,18,27,15,No data,No data,15,No data,20,No data,16,29,No data,No data,23,No data,7,15,No data,No data
05/01/2011,0.8,9.2,1.6,9.3,59.1,31,260.3,20,No data,10,13,14,8,14,30,9,No data,No data,20,No data,17,No data,10,24,No data,No data,13,No data,7,14,No data,No data
06/01/2011,-4.5,2.8,-13.5,13.8,7,14.2,348.5,18,No data,20,21,22,18,13,20,No data,No data,No data,19,No data,23,No data,14,22,No data,No data,19,No data,5,16,No data,No data
07/01/2011,-1.4,1.2,11.7,11.8,12.9,13.4,185.8,24,No data,22,34,18,22,14,22,No data,No data,No data,32,No data,23,No data,21,30,No data,No data,17,No data,19,14,No data,No data
08/01/2011,0.7,14.6,-5.9,15.8,64.3,35.8,292.1,20,No data,7,16,8,12,9,17,8,No data,No data,21,No data,11,No data,16,16,No data,No data,8,No data,9,8,No data,No data
09/01/2011,5.8,18.8,-8.4,20.5,0.3,20.5,294.1,17,No data,7,15,11,7,10,20,10,No data,No data,18,No data,12,No data,10,19,No data,No data,12,No data,4,10,No data,No data
10/01/2011,6.2,4.7,16.4,17.1,31.3,23.2,196,24,No data,11,16,12,No data,9,15,10,No data,No data,30,No data,16,No data,15,19,No data,No data,15,No data,9,8,No data,No data
11/01/2011,7.1,7.3,-12.1,14.2,-0.2,14.2,328.8,17,No data,14,15,12,No data,13,19,12,No data,No data,23,No data,12,No data,15,No data,No data,No data,13,No data,7,13,No data,No data
12/01/2011,6.6,14.1,7.3,15.9,25.5,20.4,242.6,25,No data,11,24,9,18,10,17,15,No data,No data,No data,No data,11,No data,24,27,No data,No data,9,No data,10,5,No data,No data
