Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
26/11/2013,29,16.9,-3.8,17.3,-42,27.2,282.7,0,No data,85,No data,106,42,55,55,35,No data,72,63,45,45,75,82,51,No data,17,48,73,37
27/11/2013,26.4,12.3,-8.9,15.2,-41.3,25.7,305.8,0,No data,47,No data,109,34,57,48,28,No data,No data,64,29,41,92,66,66,No data,30,36,30,33
28/11/2013,29,6.5,-2.9,7.1,-38.8,20.7,294.3,0,No data,79,No data,111,43,51,41,38,No data,93,54,44,67,71,59,52,No data,40,44,66,31
29/11/2013,22.2,20.5,-25.3,32.6,-6.3,32.7,321,17,No data,41,No data,61,28,47,60,11,No data,53,43,20,24,95,41,40,No data,5,40,21,20
30/11/2013,22,11.7,-9,14.7,-40.6,25.1,307.7,0,No data,51,No data,92,38,28,24,19,No data,66,38,29,43,50,40,23,No data,11,32,39,27
01/09/2014,16.1,9.4,0.2,9.4,-23.4,15,268.9,0,No data,46,No data,58,24,33,No data,15,No data,39,No data,21,42,98,33,40,No data,22,21,12,29
02/09/2014,17.8,3.2,5,6,-36.8,19.3,213,0,No data,64,No data,73,29,18,No data,30,No data,60,No data,29,52,72,17,25,No data,26,30,40,22
03/09/2014,18.3,-0.8,7.4,7.4,-26.9,15.3,173.4,0,No data,54,No data,82,26,22,32,30,No data,73,No data,22,62,75,16,32,No data,23,24,49,24
04/09/2014,18.2,-1.1,6.3,6.4,-4.4,6.8,170.5,14,No data,57,No data,86,34,26,32,30,No data,75,No data,29,62,69,21,32,No data,35,30,52,36
05/09/2014,18.1,-1.4,-6.1,6.3,1.9,6.4,13.3,18,No data,73,No data,110,35,36,35,26,No data,61,No data,35,61,76,49,46,No data,37,31,46,36
06/09/2014,15.9,-1.9,-7.3,7.5,-8.1,8.5,14.3,8,No data,35,No data,92,23,50,26,24,No data,49,No data,25,47,82,39,50,No data,18,25,27,32
07/09/2014,15.7,0.6,-10.3,10.3,-11.4,11.8,356.9,8,No data,32,No data,75,15,27,15,13,No data,36,No data,17,32,56,30,24,No data,11,22,27,23
08/09/2014,16.6,1.9,-6.8,7,-24.6,14.2,344.4,0,No data,72,No data,100,30,23,28,20,No data,60,No data,33,46,82,39,34,No data,19,23,38,25
09/09/2014,16.1,3.6,1.3,3.9,-37.5,19.1,249.7,0,No data,83,No data,107,33,20,35,25,No data,49,No data,36,52,97,25,28,No data,24,25,53,38
10/09/2014,15.9,-1.6,6.9,7.1,-36.2,19.4,167.4,0,No data,78,No data,86,32,17,32,34,No data,72,No data,34,56,91,27,28,No data,26,23,59,31
11/09/2014,19,-3.8,4.1,5.6,-23.7,13.1,137.8,0,No data,69,No data,90,36,18,33,29,No data,80,No data,26,60,59,24,20,No data,19,28,51,28
12/09/2014,20.6,-4,6.8,7.9,-28.7,16.4,149.3,0,No data,77,No data,94,32,16,31,29,No data,77,No data,30,59,95,13,16,No data,16,31,58,37
13/09/2014,24.2,-6,3.7,7,-28.5,15.9,121.9,0,No data,33,No data,70,33,10,25,26,No data,81,No data,15,54,62,11,13,No data,18,19,47,31
14/09/2014,22,-10.5,6.4,12.3,-24.2,17.2,121.2,3,No data,24,No data,48,21,6,17,18,No data,62,No data,12,43,49,10,8,No data,16,19,28,24
15/09/2014,19.5,-11.1,0.3,11.1,-9.5,12.1,91.3,12,No data,85,No data,92,38,20,31,21,No data,83,No data,32,55,77,36,20,No data,25,29,43,33
16/09/2014,16.3,-8.9,4.3,9.9,-4.8,10.2,116,13,No data,67,No data,82,37,22,38,No data,No data,86,No data,28,58,102,18,23,No data,31,28,57,32
17/09/2014,14.3,-12.8,4.6,13.6,1.3,13.7,109.6,12,No data,No data,No data,66,38,14,28,No data,No data,104,No data,20,61,58,9,27,No data,26,27,39,38
18/09/2014,12.8,-10.1,3.7,10.7,-0.9,10.8,109.9,12,No data,No data,No data,82,35,27,33,No data,No data,88,No data,24,69,92,12,34,No data,27,32,57,33
19/09/2014,14,-5.1,-1.6,5.3,1,5.4,72.9,-1,No data,No data,No data,91,48,27,36,No data,No data,104,No data,31,74,85,18,33,No data,36,26,54,44
20/09/2014,18.4,-1.5,-10.7,10.8,-12.7,12.5,8,8,No data,29,No data,80,39,22,26,No data,No data,89,No data,25,63,47,21,23,No data,28,26,25,36
21/09/2014,20.4,-0.5,-3.6,3.6,-42.5,21.5,7.1,0,No data,27,No data,77,30,11,20,No data,No data,63,No data,25,51,35,16,9,No data,16,18,32,30
22/09/2014,19.8,6.9,1.2,6.9,-30.5,16.8,260.3,0,No data,No data,No data,108,28,34,39,No data,No data,63,No data,37,49,80,53,39,No data,8,28,49,34
23/09/2014,15.6,11.4,2,11.6,-4.4,11.8,260,16,No data,41,No data,88,30,44,48,No data,No data,53,No data,25,51,140,47,49,No data,9,20,38,40
24/09/2014,12.2,9.6,-9.4,13.4,-10,14.3,314.7,17,No data,34,No data,65,21,33,39,No data,No data,41,No data,19,36,75,34,32,No data,19,25,25,25
25/09/2014,9.1,21.6,0.3,21.6,-25.7,25.1,269.1,6,No data,34,No data,60,13,33,43,No data,No data,42,No data,16,37,125,34,35,No data,4,18,27,27
26/09/2014,12.3,20.6,-2.7,20.8,-46.8,31.3,277.5,0,No data,42,No data,67,21,35,47,No data,No data,40,No data,15,37,105,39,36,No data,3,18,26,25
