Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
09/04/2010,25,3.9,9.4,10.2,-41.4,23.1,202.9,0,NaN,85,NaN,116,44,NaN,40,30,NaN,90,64,NaN,61,131,45,70,NaN,34,38,59,57
10/04/2010,25.9,0.6,9.4,9.4,-41.7,22.9,183.4,0,NaN,58,56,80,45,NaN,31,30,NaN,94,49,NaN,62,80,20,39,NaN,33,31,65,52
11/04/2010,27.2,-3.4,2.8,4.5,-34.1,17.6,129.3,0,NaN,20,49,29,33,NaN,16,18,NaN,95,26,NaN,45,31,7,16,NaN,26,18,28,35
12/04/2010,27.5,-5.8,-5,7.6,-24.9,14.6,49,0,NaN,51,69,58,52,NaN,30,22,NaN,97,37,NaN,56,39,13,25,NaN,36,22,42,45
13/04/2010,26.5,-8.6,-6,10.5,-18.7,14.1,55.4,1,NaN,48,43,65,63,NaN,33,15,NaN,103,36,NaN,49,40,15,28,NaN,18,30,32,44
14/04/2010,23.5,-6.5,-4,7.7,-16.5,11.3,58.9,0,NaN,41,53,67,63,NaN,32,16,NaN,111,45,NaN,48,56,17,36,NaN,15,38,36,41
15/04/2010,22.6,-3.2,-7,7.7,-32.9,18.2,24.7,0,NaN,52,62,71,76,NaN,33,25,NaN,117,41,NaN,67,39,16,34,NaN,24,34,41,54
16/04/2010,21.1,5.5,-2.6,6.1,-46,23.8,294.8,0,NaN,69,62,64,54,NaN,34,33,NaN,75,49,NaN,68,72,18,34,NaN,18,33,47,60
17/04/2010,15.9,11.1,-5.4,12.4,-13.2,14,295.6,7,NaN,68,66,101,19,NaN,35,24,NaN,44,73,NaN,56,123,42,51,NaN,9,29,52,59
18/04/2010,16.2,-3,-6,6.6,-12.9,9.3,26.3,1,NaN,42,49,92,25,NaN,28,21,NaN,88,59,NaN,47,103,20,44,NaN,13,29,32,44
19/04/2010,16.6,7.9,-0.6,8,-6.5,8.6,274.1,16,NaN,56,68,103,45,NaN,48,24,NaN,56,62,NaN,68,129,17,41,NaN,17,37,32,56
20/04/2010,17.4,5.8,-15.8,16.8,-10.4,17.6,339.7,18,NaN,55,49,74,31,NaN,38,9,NaN,54,19,NaN,38,51,39,41,NaN,13,40,24,47
21/04/2010,17.3,1.2,-6.6,6.7,-32.4,17.5,349.2,0,NaN,58,45,90,40,NaN,33,12,NaN,69,33,NaN,56,60,38,42,NaN,23,43,38,46
22/04/2010,13.6,4,-4.3,5.9,-22.1,12.5,316.8,0,NaN,82,77,109,43,NaN,33,23,NaN,66,59,NaN,62,110,44,50,NaN,18,33,55,57
23/04/2010,11.1,1.1,5.6,5.7,-17.1,10.3,191.6,0,NaN,79,93,130,61,NaN,42,29,NaN,95,66,NaN,78,142,44,50,NaN,13,41,56,71
24/04/2010,14.9,-1.2,15.2,15.2,-0.4,15.2,175.3,14,NaN,58,91,116,47,NaN,44,29,NaN,108,77,NaN,86,140,39,59,NaN,20,41,56,53
