Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/10/2012,4.1,20.9,10.8,23.6,12,24.3,242.7,15,13,NaN,32,22,14,26,22,NaN,NaN,NaN,NaN,4,9,NaN,42,21,41,NaN,21,45,15,28,NaN,29,15,9,34,10,15,13,24,19,10,NaN,NaN,26,12,19,8,27,NaN,NaN
02/10/2012,4,16.3,12.5,20.6,30.8,25.7,232.5,25,20,NaN,28,16,18,20,20,NaN,NaN,NaN,NaN,4,14,NaN,33,14,40,NaN,20,37,6,22,NaN,36,12,8,28,7,11,16,25,16,11,NaN,NaN,21,12,24,10,27,NaN,NaN
03/10/2012,4,16.1,-4.4,16.7,36.8,24.9,285.2,20,26,NaN,37,22,12,32,36,NaN,NaN,NaN,NaN,4,23,NaN,40,21,41,NaN,21,46,15,30,NaN,30,24,6,33,13,15,9,24,19,10,NaN,NaN,33,17,20,14,23,NaN,NaN
04/10/2012,3.5,13.5,4,14.1,-1.4,14.2,253.4,16,25,NaN,38,28,25,40,33,NaN,NaN,NaN,NaN,7,32,NaN,43,21,54,NaN,25,51,17,33,NaN,34,19,11,39,17,21,15,39,23,14,NaN,NaN,33,24,32,16,32,NaN,NaN
05/10/2012,6.2,10.9,-4.5,11.8,12.1,13.3,292.5,27,28,NaN,36,28,11,32,34,NaN,NaN,NaN,NaN,5,31,NaN,40,24,56,NaN,25,59,23,31,NaN,32,21,10,41,15,24,14,33,24,12,NaN,NaN,34,20,33,16,23,NaN,NaN
06/10/2012,10.7,5.7,-9,10.7,-14,12.8,327.8,7,9,NaN,23,36,14,32,30,NaN,NaN,NaN,NaN,12,33,NaN,30,25,41,NaN,22,66,20,37,NaN,30,26,13,42,19,20,20,39,23,10,NaN,NaN,27,23,44,19,19,NaN,NaN
07/10/2012,14.4,2.5,3.9,4.6,-39.4,20.2,212.6,0,19,NaN,34,44,19,34,26,NaN,NaN,NaN,NaN,22,30,NaN,28,15,43,NaN,29,58,31,47,NaN,30,20,12,40,16,22,20,40,23,27,NaN,NaN,30,27,35,24,28,NaN,NaN
08/10/2012,13.5,-1.9,-4.9,5.2,-9.1,6.9,21.3,8,22,NaN,45,46,22,37,20,NaN,NaN,NaN,NaN,17,37,NaN,38,19,42,NaN,36,66,32,51,NaN,44,27,19,38,27,29,24,39,39,24,NaN,NaN,33,28,33,39,38,NaN,NaN
09/10/2012,13,-0.1,0.5,0.5,-26.1,13.1,162.6,0,32,NaN,49,43,27,40,33,NaN,NaN,NaN,NaN,15,60,NaN,36,17,37,NaN,32,69,26,47,NaN,44,30,22,41,18,29,29,39,35,8,NaN,NaN,31,27,30,35,46,NaN,NaN
10/10/2012,9.2,0.8,10.5,10.6,-18.7,14.1,184.3,4,36,NaN,47,51,39,33,28,NaN,NaN,NaN,NaN,18,54,NaN,47,22,40,NaN,46,74,40,59,NaN,52,38,22,43,31,29,22,44,42,20,NaN,NaN,33,26,39,25,47,NaN,NaN
