Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
12/04/2010,27.5,-5.8,-5,7.6,-24.9,14.6,49,0,23,NaN,51,NaN,NaN,23,25,NaN,NaN,NaN,NaN,NaN,32,NaN,12,21,22,NaN,18,57,7,19,40,37,24,6,33,12,33,16,29,15,NaN,45,NaN,NaN,NaN,27,15,19,28,NaN
13/04/2010,26.5,-8.6,-6,10.5,-18.7,14.1,55.4,1,7,NaN,38,NaN,NaN,24,26,NaN,NaN,NaN,NaN,NaN,11,NaN,12,20,19,NaN,18,59,7,17,32,25,22,5,31,12,43,16,23,16,NaN,39,NaN,NaN,NaN,23,6,16,29,NaN
14/04/2010,23.5,-6.5,-4,7.7,-16.5,11.3,58.9,0,7,NaN,31,NaN,NaN,25,27,NaN,NaN,NaN,NaN,NaN,13,NaN,9,16,17,NaN,26,64,19,26,33,25,24,9,31,11,53,27,15,19,NaN,35,NaN,NaN,NaN,21,10,10,22,NaN
15/04/2010,22.6,-3.2,-7,7.7,-32.9,18.2,24.7,0,12,NaN,47,NaN,NaN,25,26,NaN,NaN,NaN,NaN,NaN,24,NaN,12,20,28,NaN,18,65,9,19,36,33,20,6,35,11,63,22,19,16,NaN,43,NaN,NaN,NaN,25,16,18,22,NaN
16/04/2010,21.1,5.5,-2.6,6.1,-46,23.8,294.8,0,23,NaN,46,NaN,NaN,31,25,NaN,NaN,NaN,NaN,NaN,35,NaN,23,24,39,NaN,27,67,21,29,50,29,25,10,45,14,58,21,35,21,NaN,60,NaN,NaN,NaN,36,20,28,34,NaN
17/04/2010,15.9,11.1,-5.4,12.4,-13.2,14,295.6,7,14,NaN,36,NaN,NaN,44,41,NaN,NaN,NaN,NaN,NaN,18,NaN,32,28,40,NaN,49,72,35,61,51,25,20,8,54,36,81,27,35,35,NaN,53,NaN,NaN,NaN,43,9,28,22,NaN
18/04/2010,16.2,-3,-6,6.6,-12.9,9.3,26.3,1,6,NaN,22,NaN,NaN,41,36,NaN,NaN,NaN,NaN,NaN,12,NaN,14,19,19,NaN,32,76,32,51,43,21,21,7,36,25,55,46,23,29,NaN,37,NaN,NaN,NaN,28,6,23,27,NaN
19/04/2010,16.6,7.9,-0.6,8,-6.5,8.6,274.1,16,25,NaN,25,NaN,NaN,43,41,NaN,NaN,NaN,NaN,NaN,26,NaN,27,28,40,NaN,46,77,36,64,43,35,26,7,37,27,34,34,23,NaN,NaN,45,NaN,NaN,NaN,34,13,24,28,NaN
20/04/2010,17.4,5.8,-15.8,16.8,-10.4,17.6,339.7,18,8,NaN,20,NaN,NaN,23,29,NaN,NaN,NaN,NaN,NaN,26,NaN,15,29,30,NaN,26,72,18,21,40,21,24,6,36,17,39,25,14,20,NaN,40,NaN,NaN,NaN,28,6,9,8,NaN
21/04/2010,17.3,1.2,-6.6,6.7,-32.4,17.5,349.2,0,15,NaN,35,NaN,NaN,26,28,NaN,NaN,NaN,NaN,NaN,23,NaN,21,26,31,NaN,26,61,18,27,32,31,30,13,45,23,61,22,25,22,NaN,42,NaN,NaN,NaN,35,21,14,13,NaN
22/04/2010,13.6,4,-4.3,5.9,-22.1,12.5,316.8,0,16,NaN,55,NaN,NaN,42,37,NaN,NaN,NaN,NaN,NaN,31,NaN,47,36,42,NaN,45,64,31,40,47,34,27,14,56,35,66,28,30,38,NaN,56,NaN,NaN,NaN,42,15,31,27,NaN
23/04/2010,11.1,1.1,5.6,5.7,-17.1,10.3,191.6,0,16,NaN,46,NaN,NaN,38,38,NaN,NaN,NaN,NaN,NaN,26,NaN,60,42,58,NaN,58,87,39,66,66,38,25,10,61,39,81,29,42,NaN,NaN,63,NaN,NaN,NaN,52,17,41,33,NaN
24/04/2010,14.9,-1.2,15.2,15.2,-0.4,15.2,175.3,14,21,NaN,31,NaN,NaN,42,33,NaN,NaN,NaN,NaN,NaN,34,NaN,41,31,57,NaN,61,85,46,66,76,44,28,17,59,37,67,41,24,NaN,NaN,44,NaN,NaN,NaN,40,30,41,26,NaN
25/04/2010,19,8.4,7.1,11,22.2,15.6,229.7,20,35,NaN,16,NaN,NaN,14,18,NaN,NaN,NaN,NaN,NaN,25,NaN,34,16,42,NaN,36,55,28,45,37,27,9,16,36,17,30,28,12,NaN,NaN,19,NaN,NaN,NaN,14,13,16,9,NaN
26/04/2010,19.2,13.1,0.9,13.2,-16,15.4,266,6,25,NaN,41,NaN,NaN,20,26,NaN,NaN,NaN,NaN,NaN,22,NaN,23,33,38,NaN,36,62,26,33,43,24,14,10,43,15,50,18,18,NaN,NaN,41,NaN,NaN,NaN,36,8,15,11,NaN
27/04/2010,18.4,7.3,17.8,19.3,-20.5,21.8,202.3,4,36,NaN,37,NaN,NaN,32,33,NaN,NaN,NaN,NaN,NaN,22,NaN,36,33,46,NaN,46,63,31,41,62,48,21,16,50,29,59,39,31,28,NaN,46,NaN,NaN,NaN,36,20,33,25,NaN
28/04/2010,12,14.7,14.1,20.4,12,21.2,226.2,15,26,NaN,33,NaN,NaN,32,24,NaN,NaN,NaN,NaN,NaN,10,NaN,41,33,45,NaN,39,62,17,37,57,31,25,14,45,28,51,48,25,29,NaN,31,NaN,NaN,NaN,31,13,26,12,NaN
29/04/2010,7.6,10.8,0.1,10.9,3.8,11,269.3,16,19,NaN,29,NaN,NaN,23,31,NaN,NaN,NaN,NaN,NaN,23,NaN,34,38,39,NaN,60,84,43,59,49,23,20,16,44,22,51,46,21,37,NaN,44,NaN,NaN,NaN,40,7,18,17,NaN
30/04/2010,8.7,10.3,-3.5,10.9,19.9,14.8,288.8,26,25,NaN,34,NaN,NaN,19,24,NaN,NaN,NaN,NaN,NaN,29,NaN,31,25,44,NaN,19,44,13,NaN,54,22,9,8,37,11,41,13,27,14,NaN,38,NaN,NaN,NaN,37,10,25,15,NaN
01/05/2010,13.8,-3.9,-4.1,5.7,12,8.2,43.6,20,6,NaN,28,NaN,NaN,17,23,NaN,NaN,NaN,NaN,NaN,16,NaN,12,12,18,NaN,23,52,15,17,31,21,12,6,31,9,42,15,18,15,NaN,18,NaN,NaN,NaN,29,7,10,12,NaN
02/05/2010,19.9,-6.1,-11.8,13.3,0.9,13.3,27.3,11,7,NaN,16,NaN,NaN,11,12,NaN,NaN,NaN,NaN,NaN,10,NaN,4,9,9,NaN,13,46,5,NaN,23,18,6,5,17,9,25,11,15,11,NaN,13,NaN,NaN,NaN,16,4,8,12,NaN
03/05/2010,24.9,-1.9,-11.7,11.9,-26,17.6,9.5,0,9,NaN,16,NaN,NaN,14,16,NaN,NaN,NaN,NaN,NaN,29,NaN,4,14,12,NaN,11,49,6,NaN,25,15,12,5,25,15,26,8,21,11,NaN,21,NaN,NaN,NaN,20,9,16,11,NaN
04/05/2010,25,4,-9.5,10.4,-25.9,16.6,337,0,16,NaN,19,NaN,NaN,23,28,NaN,NaN,NaN,NaN,NaN,35,NaN,21,28,38,NaN,30,68,16,NaN,36,32,24,13,50,27,31,22,28,NaN,NaN,47,NaN,NaN,NaN,36,22,17,15,NaN
05/05/2010,22.4,1.7,-7.7,7.8,-2.4,7.9,347.5,18,22,NaN,NaN,NaN,NaN,18,32,NaN,NaN,NaN,NaN,NaN,30,NaN,21,30,40,NaN,43,83,37,53,49,31,21,8,46,27,26,34,23,NaN,NaN,42,NaN,NaN,NaN,43,20,13,11,NaN
06/05/2010,18,-8.6,-8,11.8,5.7,12.2,47.1,11,7,NaN,27,NaN,NaN,26,28,NaN,NaN,NaN,NaN,NaN,12,NaN,11,22,30,NaN,25,62,15,29,45,30,23,6,34,19,59,31,20,23,NaN,38,NaN,NaN,NaN,28,11,15,21,NaN
07/05/2010,17.4,-13.7,-4.1,14.3,-9.6,15.1,73.4,12,5,NaN,26,NaN,NaN,19,23,NaN,NaN,NaN,NaN,NaN,11,NaN,10,14,12,NaN,16,66,10,20,37,21,20,6,26,14,41,21,14,15,NaN,30,NaN,NaN,NaN,19,10,9,15,NaN
08/05/2010,17.6,-9.6,-8.5,12.8,-14.8,14.8,48.7,1,5,NaN,25,NaN,NaN,14,16,NaN,NaN,NaN,NaN,NaN,16,NaN,5,12,10,NaN,13,56,7,18,31,17,10,9,23,13,30,17,12,13,NaN,21,NaN,NaN,NaN,20,5,5,15,NaN
09/05/2010,13.8,-4.2,-9.1,10,-16.3,12.9,24.5,1,4,NaN,28,NaN,NaN,15,16,NaN,NaN,NaN,NaN,NaN,22,NaN,9,10,15,NaN,14,49,7,21,25,20,14,5,25,11,20,13,14,13,NaN,23,NaN,NaN,NaN,15,11,7,15,NaN
10/05/2010,14.3,-2.8,-12.6,12.9,-15.3,15,12.8,8,9,NaN,19,NaN,NaN,20,20,NaN,NaN,NaN,NaN,NaN,16,NaN,20,19,24,NaN,18,60,10,20,44,30,24,8,37,13,36,20,25,17,NaN,47,NaN,NaN,NaN,23,10,17,28,NaN
11/05/2010,14.6,-0.8,-8.8,8.9,-4,9.1,5.5,18,17,NaN,26,NaN,NaN,23,28,NaN,NaN,NaN,NaN,NaN,24,NaN,18,15,43,NaN,27,60,17,28,48,34,21,7,35,19,54,26,23,23,NaN,50,NaN,NaN,NaN,38,20,23,16,NaN
12/05/2010,14.4,1.4,-0.4,1.5,-26.8,13.5,285.1,0,10,NaN,28,NaN,NaN,30,41,NaN,NaN,NaN,NaN,NaN,18,NaN,15,19,34,NaN,33,69,24,38,40,38,34,14,38,25,53,31,22,25,NaN,49,NaN,NaN,NaN,25,21,23,32,NaN
13/05/2010,10.3,11.3,10.3,15.3,6.2,15.6,227.8,15,23,NaN,48,NaN,NaN,31,32,NaN,NaN,NaN,NaN,NaN,16,NaN,28,26,64,NaN,37,67,25,43,54,42,19,19,43,26,52,25,21,24,NaN,40,NaN,NaN,NaN,30,6,27,16,NaN
14/05/2010,12.3,7.5,1,7.6,14.7,10.6,262.1,26,29,NaN,30,NaN,NaN,24,31,NaN,NaN,NaN,NaN,NaN,28,NaN,35,27,56,NaN,35,48,16,21,51,39,15,14,39,27,62,18,30,20,NaN,36,NaN,NaN,NaN,36,12,27,16,NaN
15/05/2010,13.4,14.9,0.5,14.9,-0.2,14.9,268,16,20,NaN,21,NaN,NaN,18,24,NaN,NaN,NaN,NaN,NaN,16,NaN,14,25,24,NaN,35,67,25,26,40,21,14,15,41,16,28,19,23,23,NaN,42,NaN,NaN,NaN,38,6,19,10,NaN
16/05/2010,15.2,10.2,-5,11.4,1.1,11.4,296.3,17,14,NaN,8,NaN,NaN,15,19,NaN,NaN,NaN,NaN,NaN,21,NaN,19,14,25,NaN,27,47,18,28,26,23,11,9,27,10,38,9,8,18,NaN,24,NaN,NaN,NaN,23,8,9,5,NaN
17/05/2010,20.4,7,-0.9,7.1,-24.8,14.3,277.1,0,20,NaN,29,NaN,NaN,26,25,NaN,NaN,NaN,NaN,NaN,26,NaN,14,29,34,NaN,36,63,28,37,33,28,30,11,38,24,37,19,21,30,NaN,43,NaN,NaN,NaN,35,11,13,9,NaN
18/05/2010,23.3,3.4,11.5,12,-21.7,16.2,196.7,4,26,NaN,27,NaN,NaN,28,23,NaN,NaN,NaN,NaN,NaN,27,NaN,29,31,42,NaN,43,76,29,55,50,35,23,13,43,31,38,21,28,31,NaN,61,NaN,NaN,NaN,41,17,22,NaN,NaN
19/05/2010,24.1,4.9,5.2,7.2,-23.8,13.9,223.7,0,33,NaN,31,NaN,NaN,21,24,NaN,NaN,NaN,NaN,NaN,20,NaN,34,26,42,NaN,38,56,25,35,48,33,13,14,41,24,59,16,28,28,NaN,55,NaN,NaN,NaN,32,18,29,NaN,NaN
20/05/2010,27,3.8,3.7,5.3,-28.8,15.3,226.2,0,20,NaN,31,NaN,NaN,24,25,NaN,NaN,NaN,NaN,NaN,27,NaN,24,35,35,NaN,48,79,40,51,36,17,27,16,44,28,53,26,24,32,NaN,52,NaN,NaN,NaN,29,10,17,NaN,NaN
